PROVIDER NUMBER,PROVIDER NAME,ADDRESS,Phone No
6395,LAHORE MEDICAL CENTRE (ABU DHABI),"Sanya 26, Near Gujrat Restaurant, Abu Dhabi - ",02 5522201
6396,SWAT MEDICAL POLYCLINIC (ABU DHABI),"Sanaiya 40, Abu Dhabi - ",025550038
6451,MARDAN MEDICAL CENTER (ABU DHABI),"Near Workers Village Round About, Musaffah Sanaya - ",02 4411 413
6453,AL MUROJ MEDICAL CENTER (ABU DHABI),"Al Kabrath Baniyas West II, Abu Dhabi - ",02 584 5622
6455,ROYAL INTERNATIONAL MEDICAL CENTER (ABU DHABI),"Al Mafraq Sanaya Workers Village No. 1, Abu Dhabi - ",02 877 5522
6458,BLUE OCEAN MEDICAL CENTER (ABU DHABI),Abu Dhabi-Musaffah (Shabiya) ME10-Mohamed Bin Zayed City- Hamed Ghanim Bin Hamoodah Building- C344 - ,+971 24481981 / +971 255323 23
6497,AL HAITHAMI SPECIALIZED MEDICAL CENTRE (ABU DHABI),"Baniyas East 8, Near By Lulu Hypermarket , Abu Dhabi - ",+97125832233
6536,HMC MEDICAL CENTRE - L.L.C - O.P.C (HOLISTIC MC SOLE PROPRIETORSHIP LLC BRANCH) (ABU DHABI),"Madinat Zayed city, Al Dhafra Region, Abu Dhabi - Madinat Zayed City, Western Region",026660388
6546,INFINTI MEDICAL CENTER LLC (ABU DHABI),"Al Wadi Building Block No.198, Main Industrial, Al Dhafra Area, Abu Dhabi - ",+971 2 8882622
6629,SEHA - SIR BANIYAS CLINIC (ABU DHABI),"P.O.Box 50019, Al Dhafra, Abu Dhabi, U.A.E - ",02-8070000
6651,GOLDEN HEALTH MEDICAL CENTER (ABU DHABI),"Al Salam Living City, Hameem Rd, Abu Dhabi - ",
6652,EXPERT MEDICAL CLINIC (ABU DHABI),"Mojumaat Workers City, Hameem Rd, Abu Dhabi - Ghayathi, Western Region",02-6225566
6653,TABIBAK MEDICAL CLINIC (ABU DHABI),"Campco Properties, Hameem Rd, Abu Dhabi - ",02-6225566
6656,SEHATY MEDICAL CENTER- SOLE PROPRIETORSHIP LLC (ABU DHABI),Al Dhafra � ICAD3 Abu Dhabi - ,025551412
6657,ILLC MEDICAL CLINIC - SOLE PROPRIETORSHIP LLC (ABU DHABI),"Al Nasser Workers Village, AL Mafraq-Abu Dhabi - ",025538098
6658,A M H MEDICAL CLINIC - SOLE PROPRIETORSHIP LLC (ABU DHABI),Village inn 2- Al Mafraq Workers City - ,025519457
6659,H H C MEDICAL CLINIC - SOLE PROPRIETORSHIP LLC (ABU DHABI),MILCO CAMP- Al Mafraq Workers City - ,025463520
6660,A L D MEDICAL CLINIC - SOLE PROPRIETORSHIP LLC (ABU DHABI),Dhabi Hameem Camp- Hameem Worker City - ,025533172
6661,A M C MEDICAL CLINIC - SOLE PROPRIETORSHIP LLC (ABU DHABI),CCC HAMEEM CAMP-Hameem Worker City - ,025463531
6662,A I C MEDICAL CENTER - SOLE PROPRIETORSHIP LLC (ABU DHABI),CWRC- Al Rayan  � Al Mafraq Workers City - ,025463531
6663,CHC MEDICAL CLINIC - SOLE PROPRIETORSHIP LLC (ABU DHABI),Village Inn 1- Al Mafraq Workers City - ,025463530
6670,WAZIRUSTAN MEDICAL CENTRE LLC (ABU DHABI),"Building No:6611, Khalifa Villa,Near Ahalia Clinic, Al Dhafra, Abu Dhabi - Ghayathi, Western Region",028741400
6680,LIFECARE MEDICAL CENTER (ABU DHABI),"Ground Floor, Razeen Camp, Al Watba-Al Mafraq - ",02-5826812
6682,LIFECARE CLINIC (ABU DHABI),"Magenta Pearl Village, Near Parco Mall, Al Mafraq Workers City 2, Abu Dhabi - ",02-5824916
6683,LIFECARE CLINIC BRANCH (ABU DHABI),"Mountain Gate, Al Mafraq Wokers City-2, Abu Dhabi - ",02-5833277
6684,LIFECARE CLINIC LLC BRANCH 3 (ABU DHABI),"Block G, Ground  Floor 19 A , Tasameem Workers City, Musaffah West 5, Near to NMDC, P.O. 133500 - ",025503034
6690,AL KHAJA MEDICAL CENTER (ABU DHABI),"Mohamed Bin Zayed 02-9, Near Al Maria Mall, Coop Society Same Building, Hamdan Street - ",026700048
6707,AL REEM DENTAL & COSMETIC CENTER LLC (ABU DHABI),"Villa 283, Al Khaleej Al Arabi Street, Al Khalidiya Area, Abu Dhabi - ",+97126655357
6716,DR. AHMED ABU SHARIA MEDICAL CENTER LLC (ABU DHABI),"VILLA NO.1, AL SHITA STREET, KHALIDIYAH,  OPPOSITE ABU DHABI BLOOD BANK, ABU DHABI - ",02-6674882
6717,DR. AHMED ABU SHARIA MEDICAL CENTER LLC-BRANCH 1 (ABU DHABI),"AL DHAFRA, MADINAT ZAYED, GENERAL ST.ADNOC, VILLA-4B, MADINAT ZAYED, GENERAL ST.ADNOC, ABU DHABI - Madinat Zayed City, Western Region",02-4464411
6721,SABA MEDICAL CENTER (ABU DHABI),"14TH ST. M37 INDUSTRIAL AREA, MUSSAFAH, ABU DHABI - ",02 552 3300
6744,PURECARE MEDICAL CENTRE (ABU DHABI),"Al Saman Tower, Mezanine Floor, M01B, Hamdan Street, Abu Dhabi - ",02 660 525
6753,NEW LOOK MEDICAL CENTER - SOLE PROPRIETORSHIP L.L.C. (ABU DHABI),"2, Al Muroor Street,1st Floor,101, Dr. Khalifa Building, Al Danah, Abu Dhabi - ",+971 26333361
6766,HEALTH & STYLE MEDICAL CENTRE LLC (ABU DHABI),"1st Floor, Office Tower, Muraijeb Tower - Hamdan Bin Mohammed Street, Abu Dhabi - ",02 633 0515
6767,HADDAD MEDICAL & DENTAL CENTRE LLC (ABU DHABI),"Abu Dhabi Commercial Bank, Hamdan Street, Muraijeb Tower,#208 - Abu Dhabi - Ghayathi, Western Region",02-6325096
6777,DANA MEDICAL CENTER LLC (ABU DHABI),"P.O.Box 74812, Shakhbout City - ",026661551
6778,HEALTHLINE MEDICAL CENTER LLC (ABU DHABI),"PO Box 74812, 1st Floor, South Shamkha - ",025668600
6814,HEALTH CLEAR MEDICAL CENTER LLC (ABU DHABI),"Shop No 06, Building No 85, Street No 10, M-13 Musaffah Industrial Area Abu Dhabi - ",025535582
6819,MEDICLINIC HOSPITALS L.L.C (CLINICS) - BRANCH (ABU DHABI),"Abu Dhabi Investment Authority Basement, Corniche Street, Abu Dhabi - ",+97126139548
6820,HOME HEALTH MEDICAL CENTRE LLC (ABU DHABI),"Shabiya -11 ,Musaffah , Building No:31 First Floor, Abu Dhabi - ",025530162
6911,EXCELLENCE MEDICAL CENTRE FOR HEARING AND BALANCE (ABU DHABI),"Street 579-Naseen Al Barr Road-Shakhbout City, Abu Dhabi - ",02 8865376
6992,AL ANAMEL MEDICAL CENTER (ABU DHABI),"Villa 346 Al Khaleej Arabi St., Al Bateen Area beside First Medical Center, Abu Dhabi - ",02-666-2858
7037,NEW HYDERABAD PRIMARY HEALTHCARE CENTRE L.L.C (ABU DHABI),"1st Floor, S1-1_1A, Muncipality Market, Near Masjid Al Dawa, New Musafah - Abu Dhabi, United Arab Emirates",28864001
7047,MAX CARE MEDICAL CENTER (ABU DHABI),"70 Al Etihad St., Rabdan area, (Former Bain Al Jesrain) - ",
7052,AL HENDAWY MEDICAL CENTRE - L L C (ABU DHABI),"Sultan Bin Zayed the First Street, Muroor Road, - Opposite Madinat Zayed Shopping Center, Madinat Zayed City, Western Region",+971 26213666
7079,SARHAD MEDICAL CENTER (ABU DHABI),"Musaffah- 2, Opposite to LLH Hospital, Abu Dhabi - ",02-5544887
7118,MEDICLINIC HOSPITALS L.L.C (REEM CLINICS) - BRANCH (ABU DHABI),"Alawiyah Street, Al Reem Island - Abu Dhabi, United Arab Emirates",8002000
7131,ULTRALASIK EYE CENTER - SOLE PROPRIETORSHIP L.L.C. (ABU DHABI),"1ST Floor, Office 105, Abu Dhabi Plaza Building, Aldana Street A Block, P.O Box 45888 - Abu Dhabi, United Arab Emirates",025859087
7194,ALRIYADH MEDICAL CENTRE L.L.C (ABU DHABI),"Ground Floor, Shop No.04, Al Moward Street, Sector 11, P.O Box 149149, Al Shawamekh Street, Bani Yas - Abu Dhabi, United Arab Emirates",025829949
764,AMRITA MEDICAL CENTER (ABU DHABI), - ,009712-6661555
767,CONSULTANTS MEDICAL CENTRE (ABUDHABI),"Hamdan Street, Tourist Club are Next to Salama Hospital, Abu Dhabi - ",009712 6794100
771,NEW NATIONAL MEDICAL CENTRE - L L C (ABU DHABI),"MB2, Zone 19, Villa No. 645, Opp. Shabiya ID Public Park. Mussafah - ",+9712 5520100
790,TAHA DENTAL & MEDICAL CENTER (ABUDHABI), - ,MR. Niyas - ACCOUNTANT
791,REDA SODAGAR CLINIC (ABUDHABI),"Mezzanine 02, Same Bldg of Salihia Lighting Center, Opp Emirates General Market,Electra Road, - ",009712 - 6218005
811,DAR ALSHIFA MEDICAL CENTER (ABU DHABI),"Tourist Club Area, Beside Dana Hotel - ",009712 6456100
915,ABU DHABI KNEE & SPORTS MEDICAL CENTER(ABU DHABI), - ,009712 6317774
921,AMERICAN EUROPEAN MEDICAL CENTER(ABU DHABI),AIRPORT ROAD ABUDHABI - ,00971 24455477
976,IBN ALNAFEES MEDICAL CENTER (ABU DHABI),"NAJDAH STREET, ABU DHABI - ",9712 6324200
982,ADVANCED CURE DIAGNOSTIC CENTER(ABU DHABI),AL KHALEEJ ST. - ,9712 667 5050
2356,SCANDCARE DENTAL (ABUDHABI),"Mezzanine Floor, Obaid Jaber Bldg, Opp Al Masood Travel Agency Al Nasr Street,, - ",009712 - 6213556
2357,APPOLONIA PEDIATRIC DENTAL CENTER L.L.C. (ABU DHABI),"Villa No: 44, Nadd Al Shiba St,Al Bateen - W12, Corniche Road, - Abu Dhabi",8007600
2482,BOSTON DENTAL CENTRE  (ABUDHABI),"Al Falah Street, Khalidiya - ",009712 - 6667070
4027,TAJMEEL DENTAL CENTER BR 1(ABU DHABI),"Al Karamah Street, Al Rowda, Abu Dhabi - ",02-6107897
4357,CREATIVE DENTAL CENTER L.L.C (ABUDHABI),"BUILDING NO : 1248,MUROOR STREET - ",02 4440458
4471,SKY DENTAL CENTER (ABU DHABI),"OTIBA BUILDING, FLAT 402, HAMDAN ST. ABU DHABI - ",02-6268880
4472,SKY DENTAL CENTER L.L.C BRANCH 1 (ABU DHABI),"SALAM STREET, AL SALAM TOWER, MZ-1 - ",+97126677448
5200,SPECTRA DENTAL CENTRE - SOLE PROPRIETORSHIP L.L.C. (ABU DHABI),"1202, Al Niyadi Building, Airport Road - ",02 6421565
5658,CLINICA SMILE DENTAL CENTER LLC(ABU DHABI),"ABU DHABI, BANIYAS EAST 3, PROPERTY NUMBER PRP1075, OFFICE 101, ABU DHABI - ",02-4447147
5723,OAISS BRACES CENTER LLC(ABU DHABI),"16th Floor, Tamouh Tower, Building No: 12 Marina Square, Al Reem Island P.O.BOX:33534 ,Abu Dhabi - ",02-6344343
5741,AMERICAN EXCELLENCE MEDICAL AND DENTAL CENTER(ABU DHABI),"Al Khalidiya Area - Al Khaleej Al Arabi Street, Beside Zayed Academy For Boys, Abu Dhabi - ",02-6582228
5743,PALMIRA SPECIALIZED MEDICAL CENTER(ABU DHABI),"Ajman Bank Building, Mezzanine Floor, Khalidiyah - ",02 667-3060
5811,ROYAL STAR DENTAL CLINIC(ABU DHABI),"Street 43A- VILLA 5, Beside al Sahel, Corniche Road, Abu Dhabi - ",026667646
5949,DR. RAGHEED TAWFEEQ DENTAL CENTRE(ABU DHABI),"Villa 12, Plot 239, Sector 48, Murror Road, Abu Dhabi - ",026774000
6250,PRISTINE DENTAL CLINIC (ABU DHABI),"53rd Street,Musaffah ME-10,Shabia, Abu Dhabi, UAE .Above Al Madina Hypermarket,Building #P-110, D-M04,Mezzanine Floor - ",0097126446650
6493,HARLEY STREET DENTAL CENTER LLC (ABU DHABI),"Suite 101 Building C6, Al Bateen Towers, Al Bateen - ",02-4916885
6687,HOLLYWOOD SMILE MEDICAL CENTER (ABU DHABI),Sh. Khalifa Street � Green Tower � Opp. Al Mashreq Bank - ,+971 2 6271371
6762,MAJESTIC DENTAL CENTER - SOLE PROPRIETORSHIP L.L.C. (ABU DHABI),"Villa 24, Al Falah St, Al Bateen Area Abu Dhabi - ",+971 26669161
6770,SMILE FIRST DENTAL CENTER (ABU DHABI),"M01- Arzanah Tower, Tourist Club Area, Same Building of Millennium Supermarket, Behind Majlis Hotel, Abu Dhabi - ",+971-2-622-6672
7066,SAMA TABRIZI DENTISTRY L.L.C. - BRANCH (ABU DHABI),"Zone 1, Ministries Complex, Khalifa Park, 1st Floor, Unit-104 - ",02-5833328
7114,APPOLONIA ADVANCED PEDIATRIC DENTAL CENTER LLC (ABU DHABI),"Building 88, Sector SE5, Al Salamah Street,next to Le Chocola - Khalifa City - SE-5 - - Abu Dhabi",8007600
7115,SYNERGY DENTAL CENTER L.L.C.(ABU DHABI),"Villa 2, Plot 8 Naseem Al Barr St, Shakhbout City, - Abu Dhabi",8007600
1144,ANNAB LABORATORIES(ABU DHABI),"ITTHAD BUILDING, KHALIFA STREET, OFFICE-804, ABU DHABI, UAE - ",009712 - 6274767
1240,LIFE MEDICAL DIAGNOSTICS LLC (ABU DHABI),"Marina Plaza Building, Office Floor 1, 101-102, Sultan Bin Zayed The First Street. P.O Box -7917 - Abu Dhabi, United Arab Emirates",600551636
1383,THE OPEN MRI CENTER L.L.C (ABU DHABI),"EMI Tower - 201, Intersection of Hamdan & Airport Road - Kan'ad St - Abu Dhabi - ",02 444 2246
2332,PROFICIENCY HEALTHCARE DIAGNOSTIC LAB(ABU DHABI),"2nd Floor, Tower C, Behind Honda Showroom, Electra Street, - ",009712 - 4919300
3097,ADVANCED CURE DIAGNOSTIC BR (ABU DHABI),"Near BNP bank, Al bateen, Abu Dhabi, - ",009712- 4100900
4365,IDEAL CLINICAL LABORATORIES (ABUDHABI),"SABIYAH -10 , MUSAFFAH,OPPOSITE TO EMIRATES FUTURE INTERNATIONAL SCHOOL,ABU DHABI - ",00971 2 5558448
4577,MENALABS MEDICAL LABORATORIES(ABU DHABI),Al Mazroui Building 2nd Floor Najda Street - ,02-4483699
5203,QUALITY DIAGNOSTIC LABORATORY-SOLE PROPRIETORSHIP LLC(ABUDHABI),"Al Najda St. Abu Dhabi Islamic Bank Bldg. , 13th Floor Flat 1304, Abu Dhabi - ",02-6456788
5456,ACCURACY PLUS MEDICAL LABORATORY(ABUDHABI),"M 02, ASTER PHARMACY BUILDING, HAMDAN STREET OPPOSITE TO HOME CENTRE, ABU DHABI, UAE - ",+971 02 6333 923
5509,NATIONAL REFERENCE LABORATORY LLC(ABU DHABI),"Musafah, Abu Dhabi Business Hub, Unit C25/26, Abu Dhabi - ",0097124930400
6278,AL BORG DIAGNOSTIC CENTER FOR LABORATORIES LLC(ABU DHABI),"Mezzanine -01, Fatima BintMubarak St., Bin Arar Building, P.O. Box 42193, Abu Dhabi - ",800 258674
7185,LIFE MEDICAL DIAGNOSTICS LLC - BRANCH (AL AIN),"Ground Floor, Emirates Commercial Complex, Sheikh Khalifa Bin Zayed Street, Central District, Al Ain - Abu Dhabi, United Arab Emirates",600551636
793,DAR AL MOUASAH (ABUDHABI),"Hamdan Street, Opp: Al Maha Rotana, Mezzanine floor, - ",009712 - 6260066
2089,MAGRABI OPTICAL CO LLC AUH BR (ABU DHABI),"Unit #D25, 3rd Floor,Abu Dhabi Mall, Abu Dhabi, UAE - ",00971 2 -  6444403
2091,MAGRABI-ABU DHABI MARINA MALL (ABU DHABI),"Ground Floor, New Extension, - ",009712 - 6816961
3708,AL JABER OPTICAL CENTRE MUSHRIF(ABUDHABI,"Unit No. 267, Second Floor - ",(02)222-1107
3709,AL JABER  OPTICAL DALMA MALL(ABUDHABI),"Unit No. FF115, First Floor - ",(02)550-4584
3724,AL JABER OPTICAL ABUDHABI MAL (ABUDHABI),"B74, Level 1 ABUDHABI MALL - ",(02)645-6111
3752,MAGRABI OPTICAL -BR OF AUH -9 (ABU DHABI), - ,009712 - 6711961
5346,MAGRABI OPTICAL - BAWABAT AL SHARQ MALL(ABU DHABI),"1ST FLOOR, UNIT R A 041, BAWBAT AL SHAREQ - ",971 2 58 64 339
5348,MAGRABI OPTICAL - DEER FIELD (ABU DHABI),"2ND FLOOR, UNIT# 238, DEERFIELDS TOWNSQUARE SHOPPING MALL - ",971 2 56 35 240
5349,MAGRABI OPTICAL - YAS MALL (ABU DHABI),"SHOP #L1- 152, YAS ISLAND � YAS MALL - LEVEL 1. - ",971 2 565 16 15
5351,MAGRABI OPTICAL - RASHID BIN SAYED STREET(ABU DHABI),"BACK SIDE OF AL WAHDA MALL, ABU DHABI, AIRPORT STREET - ",971 2 6 43 56 90
5362,ASTER OPTICALS LLC BR. OF ABU DHABI 1(ABUDHABI),"Shop no: G10, Al Raha Mall, Al Shahama, Abu Dhabi - ",02-5570053
6127,RIVOLI EYE ZONE-AL WAHDA MALL(ABU DHABI),Rivoli Eyezone Al Wahda Mall 1St Floor Extension - ,+97124417090
6128,RIVOLI EYE ZONE-GALLERIA MALL(ABU DHABI),"258A(Su),R2,The Galleria,Abudhabi Global Market Square - ",02-6797378
6129,RIVOLI EYE ZONE-KHALIDIYAH MALL(ABU DHABI),"Next To Rivoli Showroom, Ground Floor - ",026581267
6130,RIVOLI EYE ZONE-MARINA MALL(ABU DHABI),"21, Ground Floor, Next To Al Romaizan Jewelry Store - ",026819330
6565,RIVOLI EYEZONE - BAWABAT AL SHARQ MALL (ABU DHABI),GROUND FLOOR BAWABAT AL SHARQ MALL BANIYAS EAST - ,025821819
6566,RIVOLI EYEZONE - DALMA MALL (ABU DHABI),"Al Mussafah area, Al Wazn St - Abu Dhabi GR109, Ground Floor, Next to Early Learning centre - ",025503155
6567,RIVOLI EYEZONE - YAS MALL (ABU DHABI),"G-114,GROUND FLOOR,YAS MALL - ",026717067
6696,MAGRABI OPTICAL CO-LLC-BRANCH OF ABU DHABI 5 (ABU DHABI),Bawabat Al Sharq St - Bani Yas - Baniyas East - Abu Dhabi - ,+971 2 58 64 339
6697,MAGRABI OPTICAL CO-LLC-BRANCH OF ABU DHABI 7 (ABU DHABI),"1st Floor, Unit# 167, Dalma Mall - ",+971 2 55 83 780
6698,MAGRABI OPTICAL CO LLC BRANCH OF ABU DHABI 10 (ABU DHABI),"Shop #L1- 152, YAS Island � YAS MALL - Level 1. - ",+971 2 565 16 15
6738,RIVOLI EYE ZONE (BRANCH OF EXCEL ENTERPRISES LLC - BRANCH OF ABU DHABI 1 (ABU DHABI),"B71, First Floor, Opposite Rivoli, Tourist club, Abu Dhabi Mall - ",+97126410017
6739,RIVOLI EYE ZONE BRANCH OF EXCEL ENTERPRISES LLC - BRANCH OF ABU DHABI 5 (ABU DHABI),"Ground Floor, Opposite to Crocs, Al Wahda Mall, Abu Dhabi - ",+971 25647032
6871,RIVOLI EYEZONE (ABU DHABI),"11135, First Floor, Next to Samsung, Main Entrance, P4, Galleria Mall, Abu Dhabi - ",+97126260121
6880,RIVOLI EYE ZONE (BRANCH OF ABU DHABI 2- FORSAN CENTRAL) (ABU DHABI),"G 04, Ground Floor, Next to starbucks, Main Entrance, Forsan Central Mall, Abu Dhabi - ",+97123097254
6881,AVANTI - YAS MALL (ABU DHABI),"G 170A, Ground Floor, Opposite Rivoli Watches, Fashion Entrance, Fashion Car Park, Yas Mall - ",+97126260121
7210,RIVOLI EYEZONE - WAITROSE KHALIFA CITY (ABU DHABI),"Shop No -14, Waitrose Khalifa City - Theyab Bin Eissa Street, Khalifa City, Sector 32 - Abu Dhabi, United Arab Emirates",+971 507653217
7211,RIVOLI EYEZONE - REEM MALL (ABU DHABI),"C- 103, Level 1, Main Entrance, Reem Mall - Abu Dhabi, United Arab Emirates",+971 26811477
1047,DAMAN PHARMACY (ABU DHABI),"HAMDAN ST., ABU DHABI - ",NEW AL DAMAN PHARMACY (02-6216700)
1069,MODERN DARALSHIFA PHARMACY(ABU DHABI),"Tourist Club Area, Near Dana Hotel, - ",009712-6446100 (MOOPENS GROUP PHARMACY)
1091,BABIL PHARMACY (ABU DHABI),ABU DHABI - ,9712 6349500
1273,MODERN DAR ALSHIFA (BR)MUSSAFAH-ABUDHABI, - ,+9712-555 7939 (MOOPENS GROUP PHARMACY)
1363,AL RAZI PHARMACY (ABU DHABI),"GULF DIAGNOSTIC CENTER BLDG, AL KHALEEJ AL ARABI STREET - ",+9712-6675938
1387,ELYAZIA PHARMACY (ABU DHABI),"Near Aalam Supermarket , Muroor - ",+9712-4493700
1388,NEW LANDMARK PHARMACY ( ABU DHABI),"DALMA CENTER BUILDING, HAMDAN STREET - ",+9712-6316 886
1389,AL BATEEN PHARMACY (ABU DHABI),"ELECTRA STREET, NEAR ELDARADO CINEMA, PINK BUILDING - ",+9712-6766610
1390,AL THURAYYA PHARMACY (ABUDHABI),"NAJDA STREET, OPP: SHABIYA POLICE STATION - ",+9712-6427827
1391,MEDICINE PLUS PHARMACY ( ABUDHABI),"Ahmed Nasr Bldg, Behind ARAMEX, DEFENCE ROAD - ",+9712-6431123
1392,LANDMARK PLAZA PHARMACY ( ABU DHABI),"NEXT TO SALAM HOSPITAL, HAMDAN STREET - ",+9712-6783777 / 6729400
1480,LAHORE PHARMACY (MUSSAFAH)ABU DHABI,Mohd Bin Zayed city near Masjid dawa muncipality market Mussaffah - ,
1501,AL DAR PHARMACY - YAS (ABU DHABI),YAS ISLAND - ,+9712- 5563492
1502,UNIVERSAL PHARMACY (ABU DHABI),"Near Seven Emirates Supermarket, Tourist Club Area - ",+9712-6767187
1511,AL ABEER PHARMACY (ABU DHABI),"Address    Bldg. No.5022- Al Raha Building, Delma St, Abu Dhabi - ",+9712 6314400
1518,PRIME CURE PHARMACY (ABU DHABI),"Mezar Salem Building, No C-35, Al Falah (Jawazat)Street - ",02 6391214
1534,BURJEEL RETAIL PHARMACY L.L.C. - BRANCH 2 (ABU DHABI),"MAZYAD MALL , GROUND FLOOR,FLAT NO: G-13 - ",009712 - 5534848
1535,BURJEEL RETAIL PHARMACY L.L.C. - BRANCH 7 (ABU DHABI),"AL Wahda Mall,Lower Ground Floor - ",009712 -4437788
1551,MEDICLINIC PHARMACY- AL MUSAFFAH 2 (ABU DHABI),AL MAROOR - ,009712 - 4066868
1552,MEDSTAR HAMDAN PHARMACY LLC (ABU DHABI),HAMDAN - ,8007400
1554,MEDICLINIC PHARMACY - ALNOOR (ABU DHABI),Khalifa - ,+9712-6139101
1557,MEDICLINIC PHARMACY - AL NOOR - BRANCH 1 (ABU DHABI),Airport Road - ,+9712-4944598
1558,GULF DIAGNOSTIC CENTRE PHARMACY(ABU DHABI),Al Khaleej Al Arabi Street - ,009712 4177222 - Ext : 376
1564,MEDICLINIC PHARMACY - MADINAT ZAYED 2 (ABU DHABI),"ABUDHABI - Madinat Zayed City, Western Region",009712 -8848276
1573,NEW AL DAMAN PHARMACY (ABU DHABI), - ,+9712-621 6700
1577,AL ZIA PHARMACY (ABU DHABI),Mohammed Bin Zyed City Shabia 12 - ,+9712-552 9220
1621,ULTRA CARE PHARMACY (ABU - DHABI),ABU DHABI - ,009712 - 4434700
1902,FARMACIA HOME HEALTHCARE (ABUDHABI),"Mussafa,Abu Dhabi, - ",009712 - 5529395
2003,NMC PHARMACY (ABU DHABI), - ,009712 -6179820
2004,NMC PHARMACY BRANCH (ABUDHABI),"Zayed 2nd, Electra Street, - ",009712-6179143
2005,NEW PHARMACY COMPANY W.L.L (ABU DHABI), - ,009712-6322379
2008,BURJEEL PHARMACY BRANCH 10 (ABUDHABI),"DDERFIELDS, MEZZANIN FLOOR, ABU DHABI, UAE - ",009712-6263443
2010,LIFELINE PHARMACY AL MUSAFFAH (ABU DHABI), - ,009712 - 5557711
2255,NEW  AL SHAM  PHARMACY LLC (ABU DHABI),"DELMA INTERIOR BULD.CANNON SHOWROOM, OPPOSITE AL MARIAH MALL. - ",009712 -6262080
2256,AMERICAN CENTRE PHARMACY (ABUDHABI), - ,009712- 4433114
2257,ADVANCE CURE PHARMACY (ABUDHABI),"Abu Dhabi, Al Bateen area near Al Bateen Mall,Same bldg. of Advanced Cure Diagnostic Centre - ",009712 -6359922
2297,BURJEEL RETAIL PHARMACY L.L.C. - BRANCH 4 (ABU DHABI),Airport Road Abu Dhabi. - ,009712 - 4470407
2298,BURJEEL RETAIL PHARMACY L.L.C. - BRANCH 8 (ABU DHABI),"ELECTRA, ABU DHABI - ",009712 - 6588918
2300,AL MAZROUI PHARMACY  (ABUDHABI),"Al Mazroui Hospital Bldg, Najda Street, - ",009712 - 6714006
2301,AL SHAFAR PHARMACY LLC (ABUDHABI),"Shop No.73, Ground Floor, World Trade Center, The Souk - ",009712 - 6211911
2333,LIFECARE INTERNATIONAL PHARMACY (ABU DHABI),"Al Raha Village, Al Mafraq Workers Village-2,Baniyas West,Abu Dhabi,UAE - ",009712 - 5557611
2358,PHILADELPHIA PHARMACY (ABUDHABI),"Ground Floor, Same Bldg of Baskin Robbins Near Millennium Supermarket, Airport Road, - ",009712 - 4454440
2382,TAHA PHARMACY LLC (ABU DHABI), - ,009712-6343447
2399,AL BARZA PHARMACY (ABU DHABI),"Near Technical Scissors Company, Khalidiya Area, - ",00971 2 6659172
2400,AL TAHANI PHARMACY  (ABUDHABI),"Opposite to Fatima Supermarket, Nearby Taha Medical Center Bldg - ",009712 6347010
2402,NEW NATIONAL MEDICAL CENTRE PHARMACY L.L.C  (ABU DHABI),"MBL Zone 19, Vila No. 645, - Opp Shabiya 10 Public Park",+9712 5520110
2404,LIFELINE  HOSPITAL PHARMACY (ABUDHABI),"Lifeline Hospital Bldg, Next to Madina Zayed Complex Signal - ",009712 - 6333340
2405,HEALTH SHIELD MEDICAL CENTER LLC PHARMACY (ABUDHABI),Nahda Tower - ,009712  - 6265722
2406,DAR AL SHIFAA PHARMACY (ABUDHABI),Dar Al Shifa Hospital Bldg - ,009712 -6411299
2419,BURJEEL HOSPITAL PHARMACY (ABUDHABI),1st floor Burjeel Hospital - ,009712 - 2222332
2420,GIGI  PHARMACY  (ABU DHABI),"Same Bldg of Abdullah Kunji, Old Fish Market - ",009712 - 6289375
2487,SEHA EMIRATES  PHARMACY (ABU DHABI),"Al Nahyan Camp Area, Near by Emirates School, Delma Street. AbuDhabi - ",009712 - 4438999
2488,BURJEEL RETAIL PHARMACY L.L.C. - BRANCH 11 (ABU DHABI),"Khalifa City A2, Abu Dhabi, UAE - ",025562421
2642,SEHA - MADINAT ZAYED HOSPITAL IN PATIENT PHARMACY (ABU DHABI),"Beda Zayed District - Madinat Zayed City, Western Region",009712 - 8942000
2643,SEHA - MADINAT ZAYED HOSPITAL PHARMACY (ABU DHABI),"Madinat Zayed City, Western Region - ",009712 - 8942296
2644,SEHA - AL DHAFRA FAMILY MEDICINE CENTER PHARMACY (ABU DHABI),"Madinat Zayed, Abu Dhabi, United Arab Emirates - ",02-8070000
2645,SEHA - LIWA HOSPITAL PHARMACY (ABU DHABI), - ,009712 - 8835000
2646,SEHA - MARFA HOSPITAL PHARMACY (ABU DHABI),"Mohamed Kalaf ALMazrouei Street,�Madient Zayed - Al Marfa, Western Region",009712 - 8741666
2647,SEHA - GAYATHY HOSPITAL PHARMACY (ABU DHABI),Abu Dhabi - ,009712 - 8721555
2648,SEHA - SILA HOSPITAL PHARMACY (ABU DHABI),"Abu Dhabi-Sila Road (E 11), Al Sila, Opposite Al Sila Park, Sila, Western Region - ",009712 - 8844444
2649,SEHA - DELMA HOSPITAL PHARMACY (ABU DHABI),"Dalma Island, Western Region - ",009712 - 8839140
2650,SEHA - ABU AL ABYAD PHC PHARMACY (ABU DHABI),"Al Gharbia Hospitals Administration Old Hospital Building ,Mohamed Kalaf ALMazrouei Street,�Madient Zayed - ",02-8070000
